,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
0,Stock Market Management,Growthclues,Work From Home,1 Month,1000-4000,2 weeks ago,"['Marketing', 'Sales']",2500,1,0,0,0,1
1,Business Development (Sales),Sportal Corporate Private Limited,Haridwar,3 Months,3000,1 day ago,"['Effective Communication', 'MS-Excel', 'Social Media Marketing']",3000,0,1,0,0,1
2,Human Resources (HR),Mudraksh And McShaw Advisory,Noida,6 Months,10000,2 days ago,"['Effective Communication', 'English Proficiency (Spoken)', 'MS-Excel', 'MS-PowerPoint', 'MS-Word']",10000,0,1,0,1,1
4,Business Development (Sales),Chakki Peesing,Gurgaon,6 Months,10000,2 weeks ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel']",10000,0,1,0,0,1
5,Teaching In Management,Presidency College,Berhampura,3 Months,10000,2 weeks ago,"['Effective Communication', 'Teaching']",10000,0,0,0,0,1
6,Business Development (Sales),RacknSell Online Services Private Limited,Noida,3 Months,10000,1 week ago,"['Email Marketing', 'English Proficiency (Spoken)', 'Marketing', 'MS-Excel']",10000,0,1,0,0,1
7,Fundraising,Tare Zameen Foundation,Work From Home,1 Month,1000,2 weeks ago,['NOT MENTIONED'],1000,1,1,0,0,1
8,Sales,NoBroker Technologies Solutions Private Limited,"Chennai, Delhi, Pune, Bangalore, Mumbai",6 Months,15000,1 week ago,"['Effective Communication', 'Lead Generation', 'Sales']",15000,0,1,0,1,1
9,Finance,Goaler Web Solutions,Work From Home,1 Month,4500-6500,1 day ago,"['Accounting', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Financial Modeling', 'Investing', 'MS-Excel', 'MS-Office', 'Tally']",5500,1,1,0,1,1
10,Business Development (Sales),Velocity Venture,Work From Home,3 Months,2000,1 week ago,"['English Proficiency (Spoken)', 'Lead Generation', 'MS-Excel']",2000,1,1,0,0,1
11,Quality Analyst,Defenzelite Private Limited,Seoni,3 Months,2000-5000,Today,"['Effective Communication', 'Quality Assurance/Quality Control (QA/QC)']",3500,0,0,0,0,1
12,Business Development (Sales),Eduminatti,Dehradun,2 Months,5000,Today,['NOT MENTIONED'],5000,0,1,0,1,1
13,Business Development (Sales),Graveiens Eduservices Private Limited,Greater Noida,6 Months,6000,1 week ago,"['Effective Communication', 'Email Marketing', 'English Proficiency (Spoken)', 'LinkedIn Marketing', 'MS-Excel', 'Social Media Marketing']",6000,0,1,0,1,1
